Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
TC Q10,5,107013,105520,111164,111587,111587,101388,111587,"0,000%",",00934","3,62","0,01"
TC Q11,5,48810,45463,53347,60035,60035,40583,60035,"0,000%",",02049","0,02","0,02"
TC Q12,5,35507,34848,37981,42476,42476,28671,42476,"0,000%",",02816","0,04","0,03"
Total,15,63777,45463,105520,111164,111587,28671,111587,"0,000%",",01047","1,36","0,01"
