Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
TC Q4,2500,4577,623,14269,16156,20842,442,31103,"70,920%","11,44731","12,44","9,39"
Total,2500,4577,623,14269,16156,20842,442,31103,"70,920%","11,44731","12,44","9,39"
