Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC Q1,2500,229645,198386,442389,727069,851082,29006,876080,"94,400%","2,83295","0,00","0,00"
TC Q2,2500,396544,334936,429763,442560,5421479,29003,6409321,"95,560%",",38836","0,00","0,00"
TC Q3,2500,590605,314334,1144643,3589674,5617667,29006,5964835,"89,560%",",41757","0,00","0,00"
TC Q4,2500,329652,154882,813376,1032943,2039441,29005,2203462,"94,880%","1,12875","0,00","0,00"
TC Q5,2500,299143,241726,343026,384969,3225918,29008,3785710,"95,760%",",65528","0,00","0,00"
TC Q6,2500,193978,196425,386521,414058,450810,1924,463912,"95,520%","5,28538","0,00","0,00"
TC Q7,1383,75978,45253,154652,218815,290799,11254,310906,"100,000%","4,00627","0,00","0,00"
Total,16383,317646,202923,437257,812355,3954455,1924,6409321,"94,763%",",79970","0,00","0,00"
