Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
TC Q1,2500,4422,678,10720,10968,11723,408,13530,"61,120%","12,03201","22,15","11,90"
TC Q2,2500,4575,743,13351,14682,18216,437,50891,"68,840%","11,21338","144,17","13,09"
TC Q3,2500,4769,538,26129,27625,31920,429,47892,"84,400%","11,29397","38,93","10,01"
TC Q6,2500,2714,2542,3352,3825,5300,262,27066,"0,160%","12,30012","11,36","9,00"
TC Q4,907,279,265,281,296,819,230,1038,"100,000%","12,44819","9,55","10,21"
Total,10907,3801,778,11514,14290,28048,230,50891,"57,486%","2,93388","13,01","2,74"
