Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC Q1,45,72769,80203,83873,85249,86742,16816,86742,"0,000%",",36468","1,18","0,36"
TC Q5,5,223711,213907,220830,286235,286235,193766,286235,"0,000%",",01746","0,05","0,03"
Total,50,87863,80619,86742,203818,286235,16816,286235,"0,000%",",17463","0,56","0,19"
