Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC Q8,20,88908,83178,104670,115608,133015,75430,133015,"0,000%",",14923","0,17","0,19"
TC Q9,20,85019,81911,92015,97925,105333,77132,105333,"0,000%",",18896","4,41","0,20"
TC Q10,20,119612,110833,129356,161982,250061,87560,250061,"0,000%",",07928","115,61","0,09"
TC Q11,20,9669,8691,14995,16415,20255,5447,20255,"0,000%",",72036","0,66","0,71"
TC Q12,20,9385,8505,11747,11769,19255,5786,19255,"0,000%",",96251","1,21","1,00"
Total,100,62518,79246,113916,123681,161982,5447,250061,"0,000%",",08945","26,57","0,10"
