Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC Q1,45,396180,388297,454137,456155,459705,345264,459705,"0,000%",",08925","0,00","0,00"
TC Q5,5,3267402,3275716,3276908,3280750,3280750,3247408,3280750,"0,000%",",00151","0,00","0,00"
Total,50,683302,388704,459705,3256228,3280750,345264,3280750,"0,000%",",01507","0,00","0,00"
