Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
TC Q3,20,262115,270512,284153,288629,292152,193143,292152,"0,000%",",06597","2126,82","0,00"
TC Q4,20,189277,197088,206297,207291,209542,114798,209542,"0,000%",",09363","0,01","0,00"
Total,40,225696,204941,283124,284153,292152,114798,292152,"0,000%",",05784","932,33","0,00"
