Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC Q1,45,76798,77417,93745,96851,99387,19036,99387,"0,000%",",32782","0,00","0,00"
TC Q5,5,955198,963825,969475,984689,984689,903313,984689,"0,000%",",00503","0,00","0,00"
Total,50,164638,78068,99387,954689,984689,19036,984689,"0,000%",",05026","0,00","0,00"
