Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC Q1,45,1060959,1088176,1096039,1099608,1104598,2597,1104598,"2,222%",",03939","2,06","1,08"
TC Q5,5,2028504,2022002,2066745,2087317,2087317,1964967,2087317,"0,000%",",00239","0,25","0,14"
Total,50,1157714,1088658,1104598,2001489,2087317,2597,2087317,"2,000%",",02394","1,38","0,72"
